Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABN Amro,15.62 15.62,0.00 0.00,0.06 0.39%,11:35 AM 04/21/2024 11:35:07 AM UTC-0400 18.04.2024,2.07 15.30%,0.00 0.00%,0.08 0.55%
Adyen B.V. Parts Sociales,"1,442.60 1,442.60",0.00 0.00,7.80 0.54%,11:35 AM 04/21/2024 11:35:11 AM UTC-0400 18.04.2024,286.20 24.92%,736.00 105.32%,-31.40 -2.14%
Ahold Delhaize,27.14 27.14,0.00 0.00,0.18 0.67%,11:35 AM 04/21/2024 11:35:27 AM UTC-0400 18.04.2024,1.29 5.03%,-0.62 -2.25%,-3.90 -12.64%
Akzo Nobel,66.10 66.10,0.00 0.00,0.40 0.61%,11:35 AM 04/21/2024 11:35:25 AM UTC-0400 18.04.2024,-2.36 -3.42%,0.00 0.00%,-8.08 -10.81%
ArcelorMittal,23.80 23.80,0.00 0.00,0.29 1.23%,11:35 AM 04/21/2024 11:35:13 AM UTC-0400 18.04.2024,-0.87 -3.57%,2.27 10.66%,-3.87 -14.13%
ASML NV,840.30 840.30,0.00 0.00,-12.10 -1.42%,11:39 AM 04/21/2024 11:39:30 AM UTC-0400 18.04.2024,176.40 26.09%,299.20 54.09%,263.80 44.82%
ASR Nederland N.V,45.50 45.50,0.00 0.00,0.55 1.22%,11:35 AM 04/21/2024 11:35:29 AM UTC-0400 18.04.2024,3.20 7.60%,0.00 0.00%,6.20 15.86%
Heineken,88.00 88.00,0.00 0.00,0.84 0.96%,11:38 AM 04/21/2024 11:38:29 AM UTC-0400 18.04.2024,-3.86 -4.21%,0.00 0.00%,-11.62 -11.70%
IMCD,153.10 153.10,0.00 0.00,0.25 0.16%,11:35 AM 04/21/2024 11:35:11 AM UTC-0400 18.04.2024,8.55 5.96%,0.00 0.00%,5.40 3.68%
ING Group,15.17 15.17,0.00 0.00,0.24 1.62%,11:35 AM 04/21/2024 11:35:31 AM UTC-0400 18.04.2024,2.23 17.58%,2.48 19.94%,2.89 24.02%
KPN,3.38 3.38,0.00 0.00,0.00 0.03%,11:35 AM 04/21/2024 11:35:24 AM UTC-0400 18.04.2024,0.21 6.57%,0.00 0.00%,0.15 4.54%
NN Group,42.69 42.69,0.00 0.00,0.46 1.09%,11:37 AM 04/21/2024 11:37:18 AM UTC-0400 18.04.2024,5.27 14.14%,0.00 0.00%,8.22 23.94%
Philips,18.90 18.90,0.00 0.00,-0.05 -0.24%,11:35 AM 04/21/2024 11:35:59 AM UTC-0400 18.04.2024,-2.35 -11.01%,-11.29 -38.79%,2.85 17.70%
Randstad,48.35 48.35,0.00 0.00,1.25 2.65%,11:35 AM 04/21/2024 11:35:05 AM UTC-0400 18.04.2024,-0.56 -1.09%,0.00 0.00%,-2.96 -5.52%
RELX,39.00 39.00,0.00 0.00,0.18 0.46%,11:37 AM 04/21/2024 11:37:05 AM UTC-0400 18.04.2024,1.08 2.83%,0.00 0.00%,9.49 31.96%
Shell,33.47 33.47,0.00 0.00,-0.06 -0.18%,11:37 AM 04/21/2024 11:37:39 AM UTC-0400 18.04.2024,5.41 19.42%,0.00 0.00%,5.24 18.71%
Wolters Kluwer,141.40 141.40,0.00 0.00,0.25 0.18%,11:35 AM 04/21/2024 11:35:24 AM UTC-0400 18.04.2024,7.90 5.89%,0.00 0.00%,23.15 19.47%
