Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
AB InBev SA-NV (Anheuser-Busch InBev),55.72 54.88,55.12 55.72,0.84 1.53%,07:23 AM 04/22/2024 07:23:20 AM UTC-0400 22.04.2024,-3.59 -6.25%,3.19 6.30%,-4.93 -8.39%
Ackermans & van Haaren S.A.,158.80 156.70,158.80 158.80,2.10 1.34%,02:06 AM 04/22/2024 02:06:50 AM UTC-0400 22.04.2024,5.80 3.77%,0.00 0.00%,2.90 1.85%
ageas NV,43.16 42.98,43.16 43.16,0.18 0.42%,02:06 AM 04/22/2024 02:06:50 AM UTC-0400 22.04.2024,3.51 9.12%,0.00 0.00%,1.92 4.79%
Ahold Delhaize (Ahold),27.73 27.22,27.73 27.73,0.51 1.87%,02:00 AM 04/22/2024 02:00:30 AM UTC-0400 22.04.2024,1.29 5.03%,-0.62 -2.25%,-3.90 -12.64%
Cofinimmo S.A.,62.60 61.50,62.60 62.60,1.10 1.79%,02:13 AM 04/22/2024 02:13:46 AM UTC-0400 22.04.2024,-2.80 -4.09%,0.00 0.00%,-21.60 -24.77%
D'Ieteren NV,204.80 202.80,204.80 204.80,2.00 0.99%,02:06 AM 04/22/2024 02:06:50 AM UTC-0400 22.04.2024,23.10 13.15%,0.00 0.00%,27.30 15.92%
Elia System Operator SA-NV,92.20 91.50,92.20 92.20,0.70 0.77%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,-11.20 -10.22%,0.00 0.00%,-21.20 -17.73%
Engie (ex GDF Suez),15.95 15.90,15.87 16.00,0.06 0.35%,10:16 AM 04/22/2024 10:16:53 AM UTC-0400 22.04.2024,0.17 1.08%,1.01 6.86%,0.44 2.86%
Etablissementen Franz Colruyt NV,41.48 40.34,41.48 41.48,1.14 2.83%,02:06 AM 04/22/2024 02:06:50 AM UTC-0400 22.04.2024,0.53 1.26%,0.00 0.00%,17.07 67.13%
Groupe Bruxelles Lambert S.A. (GBL),70.00 68.85,70.00 70.00,1.15 1.67%,02:06 AM 04/22/2024 02:06:50 AM UTC-0400 22.04.2024,2.17 3.22%,0.00 0.00%,-10.37 -12.98%
KBC Groep N.V.,70.30 69.02,69.88 70.50,1.28 1.85%,04:58 AM 04/22/2024 04:58:52 AM UTC-0400 22.04.2024,11.26 19.25%,0.00 0.00%,3.88 5.89%
NV Bekaert SA,46.52 46.00,46.52 46.52,0.52 1.13%,02:06 AM 04/22/2024 02:06:50 AM UTC-0400 22.04.2024,2.40 5.40%,0.00 0.00%,4.48 10.58%
Proximus (ex Belgacom),7.55 7.25,7.41 7.55,0.30 4.14%,10:10 AM 04/22/2024 10:10:19 AM UTC-0400 22.04.2024,-1.72 -18.92%,0.00 0.00%,-1.79 -19.46%
Solvay S.A.,30.59 28.21,30.59 30.59,2.38 8.44%,02:14 AM 04/22/2024 02:14:34 AM UTC-0400 22.04.2024,6.27 26.65%,9.92 49.89%,8.19 37.87%
Telenet Group Holding N.V.,0.00 0.00,0.00 0.00,0.00 0.00%,-,0.42 2.03%,0.00 0.00%,7.84 59.13%
ThromboGenics NV,0.00 0.00,0.00 0.00,0.00 800.00%,02:01 AM 04/22/2024 02:01:21 AM UTC-0400 22.04.2024,-0.01 -46.81%,0.00 0.00%,-1.15 -99.13%
UCB S.A.,123.00 118.20,123.00 123.20,4.80 4.06%,11:06 AM 04/22/2024 11:06:26 AM UTC-0400 22.04.2024,36.87 44.65%,0.00 0.00%,31.83 36.33%
