Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Air Liquide,187.76 187.76,0.00 0.00,1.04 0.56%,11:36 AM 04/22/2024 11:36:00 AM UTC-0400 19.04.2024,11.36 6.49%,29.18 18.55%,25.66 15.95%
Airbus,160.04 160.04,0.00 0.00,-0.62 -0.39%,11:35 AM 04/22/2024 11:35:17 AM UTC-0400 19.04.2024,9.86 6.57%,35.18 28.21%,31.58 24.61%
ArcelorMittal,23.83 23.83,0.00 0.00,0.03 0.13%,11:35 AM 04/22/2024 11:35:06 AM UTC-0400 19.04.2024,-0.87 -3.57%,2.27 10.66%,-3.87 -14.13%
AXA,33.90 33.90,0.00 0.00,0.08 0.24%,11:37 AM 04/22/2024 11:37:39 AM UTC-0400 19.04.2024,3.50 11.66%,5.30 18.82%,4.63 16.04%
BNP Paribas,65.43 65.43,0.00 0.00,-0.03 -0.05%,11:39 AM 04/22/2024 11:39:14 AM UTC-0400 19.04.2024,3.49 5.75%,6.84 11.94%,4.74 7.98%
Bouygues,36.12 36.12,0.00 0.00,0.03 0.08%,11:37 AM 04/22/2024 11:37:02 AM UTC-0400 19.04.2024,1.61 4.66%,4.56 14.42%,3.39 10.34%
Cap Gemini,200.10 200.10,0.00 0.00,-0.40 -0.20%,11:35 AM 04/22/2024 11:35:02 AM UTC-0400 19.04.2024,5.05 2.56%,38.10 23.19%,36.10 21.71%
Carrefour,15.76 15.76,0.00 0.00,0.05 0.29%,11:35 AM 04/22/2024 11:35:23 AM UTC-0400 19.04.2024,-0.68 -4.14%,-0.24 -1.51%,-3.29 -17.41%
Crédit Agricole,14.04 14.04,0.00 0.00,0.13 0.93%,11:35 AM 04/22/2024 11:35:08 AM UTC-0400 19.04.2024,0.58 4.43%,2.23 19.45%,2.79 25.64%
Danone,59.44 59.44,0.00 0.00,0.38 0.64%,11:37 AM 04/22/2024 11:37:48 AM UTC-0400 19.04.2024,-2.88 -4.69%,3.96 7.26%,-0.55 -0.93%
Engie,15.93 15.93,0.00 0.00,0.11 0.70%,11:35 AM 04/22/2024 11:35:55 AM UTC-0400 19.04.2024,0.17 1.08%,1.01 6.86%,0.44 2.86%
EssilorLuxottica,203.30 203.30,0.00 0.00,-1.40 -0.68%,11:35 AM 04/22/2024 11:35:05 AM UTC-0400 19.04.2024,22.60 12.65%,37.58 22.97%,28.14 16.26%
Eurofins Scientific,59.52 59.52,0.00 0.00,-0.56 -0.93%,11:35 AM 04/22/2024 11:35:24 AM UTC-0400 19.04.2024,3.24 5.82%,10.03 20.52%,-2.48 -4.04%
Hermès,"2,320.00 2,320.00",0.00 0.00,-5.00 -0.22%,11:39 AM 04/22/2024 11:39:47 AM UTC-0400 19.04.2024,500.20 27.16%,656.00 38.91%,370.00 18.76%
Kering,339.10 339.10,0.00 0.00,-1.40 -0.41%,11:37 AM 04/22/2024 11:37:39 AM UTC-0400 19.04.2024,-12.60 -3.56%,-68.45 -16.72%,-230.70 -40.35%
LEGRAND,95.48 95.48,0.00 0.00,-0.94 -0.97%,11:35 AM 04/22/2024 11:35:24 AM UTC-0400 19.04.2024,4.28 4.75%,10.40 12.38%,10.62 12.68%
L'Oréal,444.95 444.95,0.00 0.00,21.35 5.04%,11:35 AM 04/22/2024 11:35:05 AM UTC-0400 19.04.2024,-7.95 -1.87%,35.15 9.18%,-6.05 -1.43%
LVMH Moet Hennessy Louis Vuitton,796.60 796.60,0.00 0.00,-0.20 -0.03%,11:37 AM 04/22/2024 11:37:39 AM UTC-0400 19.04.2024,140.60 21.19%,136.30 20.41%,-73.50 -8.38%
Michelin,35.32 35.32,0.00 0.00,0.32 0.91%,11:35 AM 04/22/2024 11:35:11 AM UTC-0400 19.04.2024,3.88 12.71%,5.63 19.57%,4.63 15.55%
Orange,10.86 10.86,0.00 0.00,0.18 1.64%,11:35 AM 04/22/2024 11:35:12 AM UTC-0400 19.04.2024,-0.60 -5.39%,-0.44 -4.03%,-0.89 -7.74%
Pernod Ricard,145.00 145.00,0.00 0.00,1.35 0.94%,11:37 AM 04/22/2024 11:37:39 AM UTC-0400 19.04.2024,-1.75 -1.22%,-16.80 -10.59%,-66.90 -32.06%
Publicis,99.70 99.70,0.00 0.00,-1.35 -1.34%,11:35 AM 04/22/2024 11:35:19 AM UTC-0400 19.04.2024,13.90 15.89%,26.54 35.45%,24.98 32.69%
Renault,47.73 47.73,0.00 0.00,-1.09 -2.23%,11:36 AM 04/22/2024 11:36:27 AM UTC-0400 19.04.2024,13.87 40.30%,12.22 33.88%,11.41 30.92%
SAFRAN,205.90 205.90,0.00 0.00,-2.30 -1.10%,11:35 AM 04/22/2024 11:35:25 AM UTC-0400 19.04.2024,35.66 20.85%,57.10 38.17%,65.00 45.87%
Saint-Gobain,70.26 70.26,0.00 0.00,-0.94 -1.32%,11:39 AM 04/22/2024 11:39:22 AM UTC-0400 19.04.2024,8.55 13.67%,19.85 38.75%,19.39 37.51%
Sanofi,86.89 86.89,0.00 0.00,1.66 1.95%,11:37 AM 04/22/2024 11:37:39 AM UTC-0400 19.04.2024,-8.51 -8.99%,-15.18 -14.98%,-15.20 -14.99%
Schneider Electric,208.40 208.40,0.00 0.00,-6.95 -3.23%,11:37 AM 04/22/2024 11:37:44 AM UTC-0400 19.04.2024,30.98 17.35%,62.40 42.42%,57.40 37.74%
Société Générale,24.75 24.75,0.00 0.00,0.04 0.16%,11:35 AM 04/22/2024 11:35:23 AM UTC-0400 19.04.2024,0.98 4.25%,2.53 11.70%,1.76 7.86%
SR.Teleperformance,87.52 87.52,0.00 0.00,0.44 0.51%,11:36 AM 04/22/2024 11:36:38 AM UTC-0400 19.04.2024,-45.48 -34.48%,-31.78 -26.89%,-127.58 -59.62%
Stellantis,24.23 24.23,0.00 0.00,-0.10 -0.39%,11:35 AM 04/22/2024 11:35:26 AM UTC-0400 19.04.2024,4.43 22.35%,5.48 29.19%,7.23 42.47%
STMicroelectronics,36.71 36.71,0.00 0.00,-0.87 -2.30%,11:35 AM 04/22/2024 11:35:12 AM UTC-0400 19.04.2024,-2.28 -5.65%,-1.82 -4.55%,-7.98 -17.34%
TotalEnergies,67.28 67.28,0.00 0.00,-0.14 -0.21%,11:37 AM 04/22/2024 11:37:39 AM UTC-0400 19.04.2024,9.15 15.64%,3.88 6.08%,9.01 15.36%
Unibail-Rodamco,75.10 75.10,0.00 0.00,0.22 0.29%,11:35 AM 04/22/2024 11:35:19 AM UTC-0400 19.04.2024,9.22 14.25%,29.42 66.11%,23.88 47.72%
Veolia Environnement,28.80 28.80,0.00 0.00,0.17 0.59%,11:35 AM 04/22/2024 11:35:25 AM UTC-0400 19.04.2024,-0.45 -1.59%,2.09 8.09%,-1.14 -3.92%
VINCI,113.35 113.35,0.00 0.00,-0.20 -0.18%,11:39 AM 04/22/2024 11:39:08 AM UTC-0400 19.04.2024,-5.08 -4.33%,11.48 11.39%,2.84 2.59%
Vivendi,9.90 9.90,0.00 0.00,0.05 0.47%,11:35 AM 04/22/2024 11:35:15 AM UTC-0400 19.04.2024,0.00 -0.04%,1.31 15.54%,-0.31 -3.03%
