Company,Ticker,ISIN,ICBSector
A2A,A2A.MI,IT0001233417,7530 (Electricity) [ citation needed ]
Amplifon,AMP.MI,IT0004056880,(Health Care)
Azimut,AZM.MI,IT0003261697,8770 (Financial Services) [ citation needed ]
Banca Generali,BGN.MI,IT0001031084,8770 (Financial Services)
Banca Mediolanum,BMED.MI,IT0004776628,8770 (Financial Services)
Banco BPM,BAMI.MI,IT0005218380,8350 (Banks)
BPER Banca,BPE.MI,IT0000066123,8350 (Banks) [ citation needed ]
Buzzi Unicem,BZU.MI,IT0001347308,(Industrials)
Campari,CPR.MI,IT0003849244,3530 (Beverages) [ citation needed ]
CNH Industrial N.V.,CNHI.MI,NL0010545661,(Industrial Goods And Services)
Diasorin,DIA.MI,IT0003492391,(Health Care)
Enel,ENEL.MI,IT0003128367,7530 (Electricity) [ citation needed ]
Eni,ENI.MI,IT0003132476,0530 (Oil & Gas Producers) [ citation needed ]
Erg,ERG.MI,IT0001157020,(Utilities)
Ferrari,RACE.MI,NL0011509302,3350 (Automobiles & Parts) [ citation needed ]
FinecoBank,FBK.MI,IT0000072170,8350 (Banks) [ citation needed ]
Generali,G.MI,IT0000062072,8530 (Nonlife Insurance) [ citation needed ]
Hera,HER.MI,IT0001250932,(Utilities)
Interpump Group,IP.MI,IT0001078911,(Industrials)
Intesa Sanpaolo,ISP.MI,IT0000072618,8350 (Banks) [ citation needed ]
INWIT,INW.MI,IT0005090300,(Communication Services)
Italgas,IG.MI,IT0005211237,(Utilities)
Iveco Group,IVG.MI,NL0015000LU4,(Industrial Goods And Services)
Leonardo,LDO.MI,IT0003856405,2710 (Aerospace & Defense) [ citation needed ]
Mediobanca,MB.MI,IT0000062957,8350 (Banks) [ citation needed ]
Moncler,MONC.MI,IT0004965148,3760 (Personal Goods) [ citation needed ] [3] [4]
Nexi,NEXI.MI,IT0005366767,(Payments)
Pirelli,PIRC.MI,IT0005278236,3350 (Automobiles & Parts) [ citation needed ]
Poste italiane,PST.MI,IT0003796171,8530 (Nonlife Insurance) [ citation needed ]
Prysmian,PRY.MI,IT0004176001,2730 (Electronic & Electrical Equipment) [ citation needed ]
Recordati,REC.MI,IT0003828271,4570 (Pharmaceuticals & Biotechnology) [ citation needed ]
Saipem,SPM.MI,IT0000068525,0570 (Oil Equipment Services & Distribution) [ citation needed ]
Snam,SRG.MI,IT0003153415,7570 (Gas Water & Multiutilities) [ citation needed ]
Stellantis,STLAM.MI,NL00150001Q9,3350 (Automobiles & Parts) [ citation needed ]
STMicroelectronics,STMMI.MI,NL0000226223,9570 (Technology Hardware & Equipment) [ citation needed ]
Telecom Italia,TIT.MI,IT0003497168,(Telecommunications)
Tenaris,TEN.MI,LU0156801721,1750 (Industrial Metals & Mining) [ citation needed ]
Terna,TRN.MI,IT0003242622,7530 (Electricity) [ citation needed ]
UniCredit,UCG.MI,IT0004781412,8350 (Banks) [ citation needed ]
Unipol,UNI.MI,IT0004810054,8530 (Nonlife Insurance) [ citation needed ]
