Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABG Sundal Collier ASAShs,0.46 0.47,0.46 0.46,-0.01 -1.70%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,-0.07 -14.12%,0.00 0.00%,-0.08 -14.61%
Af Gruppen Asa (A),11.14 11.00,11.14 11.14,0.14 1.27%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,-0.24 -2.29%,0.00 0.00%,-3.30 -24.41%
Aker ASAShs -A-,52.30 51.70,52.30 52.30,0.60 1.16%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,-3.60 -6.57%,0.00 0.00%,-10.65 -17.22%
Aker Solutions ASA,3.22 3.25,3.22 3.22,-0.03 -0.92%,02:08 AM 04/22/2024 02:08:29 AM UTC-0400 22.04.2024,-0.16 -4.38%,0.00 0.00%,0.21 6.48%
American Shipping Company ASA,2.42 2.42,2.42 2.42,0.01 0.21%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,0.13 5.07%,0.00 0.00%,-1.03 -28.45%
Atea ASA,11.14 10.98,11.14 11.14,0.16 1.46%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,-0.08 -0.71%,0.00 0.00%,-0.44 -3.77%
Avance Gas Holding Ltd,11.82 11.70,11.58 11.82,0.12 1.03%,09:29 AM 04/22/2024 09:29:01 AM UTC-0400 22.04.2024,0.52 4.36%,0.00 0.00%,5.59 81.61%
Bakkafrost,54.95 54.90,54.45 54.95,0.05 0.09%,10:01 AM 04/22/2024 10:01:26 AM UTC-0400 22.04.2024,6.42 12.95%,0.00 0.00%,-4.55 -7.51%
Biotec Pharmacon ASAShs,2.14 2.25,2.14 2.14,-0.11 -4.90%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,-0.41 -11.46%,0.00 0.00%,-0.15 -4.57%
BW LPG Ltd,12.60 12.29,12.27 12.60,0.31 2.52%,11:12 AM 04/22/2024 11:12:11 AM UTC-0400 22.04.2024,-0.78 -6.09%,0.00 0.00%,4.48 59.34%
Det Norske Oljeselskap ASA,23.91 23.80,23.90 24.02,0.11 0.46%,10:04 AM 04/22/2024 10:04:32 AM UTC-0400 22.04.2024,0.52 2.17%,0.00 0.00%,1.23 5.29%
DNO International ASA (A),0.88 0.88,0.88 0.88,-0.01 -0.62%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,0.12 14.77%,0.00 0.00%,-0.07 -7.02%
Entra ASA Unitary 144A-Reg S,8.65 8.56,8.49 8.65,0.09 1.05%,09:29 AM 04/22/2024 09:29:01 AM UTC-0400 22.04.2024,0.19 1.90%,0.00 0.00%,0.49 5.15%
Equinor,25.38 25.52,25.10 25.68,-0.15 -0.57%,11:49 AM 04/22/2024 11:49:00 AM UTC-0400 22.04.2024,-0.77 -2.93%,0.00 0.00%,-1.07 -4.01%
Gjensidige Forsikring ASA,13.77 13.63,13.77 13.77,0.14 1.03%,02:27 AM 04/22/2024 02:27:17 AM UTC-0400 22.04.2024,-1.87 -12.10%,0.00 0.00%,-1.72 -11.23%
Golden Ocean Group Ltd,11.60 12.75,11.60 11.94,-1.15 -8.98%,09:29 AM 04/22/2024 09:29:01 AM UTC-0400 22.04.2024,2.43 25.93%,0.00 0.00%,3.07 35.10%
Kongsberg Automotive Holding ASA,0.12 0.11,0.12 0.12,0.01 8.35%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,0.02 10.50%,0.00 0.00%,-0.06 -26.61%
