Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ALTRI SGPS SAShs,4.98 4.85,4.98 4.98,0.13 2.60%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,0.25 5.93%,0.00 0.00%,0.52 12.98%
Cofina SGPS SA,0.40 0.39,0.40 0.40,0.01 1.52%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,0.03 8.70%,0.00 0.00%,0.12 43.88%
"EDP Renovaveis, SA",12.60 12.84,12.60 12.83,-0.24 -1.87%,05:51 AM 04/22/2024 05:51:32 AM UTC-0400 22.04.2024,-2.35 -15.08%,0.00 0.00%,-7.05 -34.76%
GALP Energia,18.79 16.03,16.36 18.89,2.77 17.25%,08:07 AM 04/22/2024 08:07:25 AM UTC-0400 22.04.2024,1.93 13.52%,0.00 0.00%,5.06 45.52%
Grupo EDP S.A. (Electricidade de Portugal S.A.),3.58 3.62,3.58 3.58,-0.04 -1.05%,02:27 AM 04/22/2024 02:27:17 AM UTC-0400 22.04.2024,-0.59 -13.94%,0.00 0.00%,-1.34 -26.90%
Jeronimo Martins SGPS S.A.,17.85 17.63,17.85 17.85,0.22 1.25%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,-3.16 -15.00%,0.00 0.00%,-3.78 -17.44%
Mota-Engil SGPS SA,4.12 4.20,4.12 4.12,-0.07 -1.76%,02:27 AM 04/22/2024 02:27:17 AM UTC-0400 22.04.2024,0.41 9.09%,0.00 0.00%,3.06 169.40%
"NOS SGPS, SA",3.26 3.58,3.23 3.42,-0.32 -8.81%,02:24 AM 04/22/2024 02:24:01 AM UTC-0400 22.04.2024,0.36 11.11%,0.00 0.00%,-0.76 -17.35%
Portugal Telecom S.A.,0.05 0.05,0.05 0.05,0.00 1.69%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,0.00 5.93%,0.00 0.00%,0.00 0.00%
"REN - Redes Energeticas Nacionais SGPS, SAShs",2.21 2.20,2.21 2.21,0.01 0.23%,03:13 AM 04/22/2024 03:13:15 AM UTC-0400 22.04.2024,0.04 1.95%,0.00 0.00%,-0.31 -11.65%
Sociedade de Investimento e Gestao SGPS SA SEMAPA,15.02 14.80,15.02 15.02,0.22 1.49%,02:27 AM 04/22/2024 02:27:17 AM UTC-0400 22.04.2024,1.14 8.21%,0.00 0.00%,1.16 8.37%
Sonae SGPS SA,0.91 0.91,0.89 0.91,0.00 0.11%,03:07 AM 04/22/2024 03:07:52 AM UTC-0400 22.04.2024,0.02 2.68%,0.00 0.00%,-0.10 -10.36%
Sonaecom SGPS SA,2.46 2.52,2.46 2.46,-0.06 -2.38%,02:27 AM 04/22/2024 02:27:17 AM UTC-0400 22.04.2024,-0.27 -9.96%,0.00 0.00%,0.00 0.00%
The Navigator Company,4.08 3.87,4.08 4.08,0.21 5.32%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,0.52 14.54%,0.00 0.00%,0.70 20.78%
