Name;Currency;Type;Sub type;Market;ISIN Code;Industry;SuperSector;Sector;Subsector;Average training hours per employee;Number of female board members;Number of board members;Market Cap in USD;Carbon footprint (total GHG emissions / enterprise value)_in_USD;Share of women in total workforce in %;Share of women in management bodies in %;Gender pay gap in %;Rate of employees with disabilities in %;Board gender diversity (female board members / total board members) in %;Total energy consumption in mwh;Rate of resignation in %
ACCOR;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120404;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;;8.0;13.0;10331920000.0;572.6319;;;;;0.615;13712000.0;
AIR LIQUIDE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120073;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;20.0;5.0;14.0;105136060000.0;;0.28;0.3;;0.045;0.357;;0.086
AIRBUS SE;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000235190;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;15.0;4.0;12.0;136164990000.00002;;0.2;;;;0.333;3717000.0;
ARCELORMITTAL SA;EUR;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;21754170000.0;3373.201;;0.157;;;0.3;386666976.0;
AXA;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120628;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;9.0;16.0;82540870000.0;2.7178;;0.353;;0.007;0.563;223638.0;0.1
BNP PARIBAS ACT.A;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000131104;30, Financials;3010, Banks;301010, Banks;30101010, Banks;24.2;7.0;13.0;80076660000.0;;0.51;;;0.027;0.538;830000.0;
BOUYGUES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120503;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;;8.0;14.0;14690030000.0;767.1686000000001;;;;;0.571;;
CAPGEMINI;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000125338;10, Technology;1010, Technology;101010, Software and Computer Services;10101010, Computer Services;52.4;6.0;15.0;37140770000.0;23.668400000000002;0.388;0.273;;0.012;0.4;201053.0;
CARREFOUR;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120172;45, Consumer Staples;4520, Personal Care, Drug and Grocery Stores;452010, Personal Care, Drug and Grocery Stores;45201010, Food Retailers and Wholesalers;9.2;7.0;15.0;11936920000.0;;0.55;0.308;;0.043;0.467;4556990.0;0.158
CREDIT AGRICOLE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000045072;30, Financials;3010, Banks;301010, Banks;30101010, Banks;33.5;10.0;21.0;44858680000.0;;0.522;0.353;;0.054;0.476;398861.0;0.04
DANONE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120644;45, Consumer Staples;4510, Food, Beverage and Tobacco;451020, Food Producers;45102020, Food Products;;;;42715470000.0;;;;;;;;
DASSAULT SYSTEMES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0014003TT8;10, Technology;1010, Technology;101010, Software and Computer Services;10101015, Software;27.9;6.0;12.0;54964830000.0;3.915023;0.281;0.385;;0.027;0.5;82766.0;
EDENRED;EUR;Stock;Ordinary Shares;Euronext Paris;FR0010908533;50, Industrials;5020, Industrial Goods and Services;502050, Industrial Support Services;50205015, Transaction Processing Services;22.1;6.0;12.0;12471920000.0;6.591200000000001;0.52;0.37;;0.055;0.5;11713829.0;
ENGIE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0010208488;65, Utilities;6510, Utilities;651020, Gas, Water and Multi-utilities;65102000, Multi-utilities;28.0;7.0;14.0;41275250000.0;1848.9386000000002;0.265;0.4;0.019;0.035;0.5;217479000.0;0.054
ESSILORLUXOTTICA;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000121667;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102015, Medical Supplies;19.2;6.0;14.0;99406210000.0;14.0384;0.6;0.39;;;0.429;2149000.0;
EUROFINS SCIENT.;EUR;Stock;Ordinary Shares;Euronext Paris;FR0014000MR3;20, Health Care;2010, Health Care;201020, Medical Equipment and Services;20102020, Medical Services;;4.0;8.0;12331750000.0;34.143914;0.57;0.21;;;0.5;742007.0;
