Index,Company,Ticker
AEX,NN GROUP,NN
AEX,EITZEN MARITIME SERVICES,EMS
AEX,AHOLD DELHAIZE,AD
AEX,AKZONOBEL,AKZA
AEX,ARCELORMITTAL,MT
AEX,ARCELORMITTAL,MT.AS
AEX,ASML HOLDING,ASML
AEX,KVERNELAND,KVE
AEX,HEINEKEN,HEIA
AEX,IMCD,IMCD
AEX,ING GROUP,INGA
AEX,KPN,KPN
AEX,PHILIPS,PHIA
AEX,RANDSTAD,RAND
AEX,RELX,REN
AEX,SHELL PLC,SHELL
AEX,WOLTERS KLUWER,WKL
BEL_20,AB INBEV,ABI
BEL_20,ACKERMANS & VAN HAAREN,ACKB
BEL_20,AGEAS,AGS
BEL_20,AHOLD DELHAIZE,AD
BEL_20,COFINIMMO,COFB
BEL_20,ITERA,ITE
BEL_20,TOMRA SYSTEMS,TOM
BEL_20,ENGIE,ENGI.PA
BEL_20,GOLDEN OCEAN GROUP,GOGL
BEL_20,ODFJELL SER. B,ODFB
BEL_20,AKVA GROUP,AKVA
BEL_20,VAR ENERGI ASA,VAR
BEL_20,PROXIMUS GROUP,PROX
BEL_20,SOLVAY,SOLB
BEL_20,TELIO HOLDING,TELIO
BEL_20,STMICROELECTRONICS,STMPA.PA
BEL_20,STMICROELECTRONICS,STMMI.MI
BEL_20,UCB,UCB
CAC_40,AIR LIQUIDE,AI.PA
CAC_40,AIRBUS,AIR.PA
CAC_40,ARCELORMITTAL,MT
CAC_40,ARCELORMITTAL,MT.AS
CAC_40,AXA,CS.PA
CAC_40,BNP PARIBAS,BNP.PA
CAC_40,BOUYGUES,EN.PA
CAC_40,CAPGEMINI,CAP.PA
CAC_40,CARREFOUR,CA.PA
CAC_40,CREDIT AGRICOLE,ACA.PA
CAC_40,DANONE,BN.PA
CAC_40,ENGIE,ENGI.PA
CAC_40,ESSILORLUXOTTICA,EL.PA
CAC_40,EUROFINS SCIENTIFIC,ERF.PA
CAC_40,HERMES,RMS.PA
CAC_40,KERING,KER.PA
CAC_40,BW LPG,BWLPG
CAC_40,L'OREAL,OR.PA
CAC_40,NORTHERN LOGISTIC,NLPR
CAC_40,MICHELIN,ML.PA
CAC_40,ORANGE,ORA.PA
CAC_40,PERNOD RICARD,RI.PA
CAC_40,PUBLICIS,PUB.PA
CAC_40,RENAULT,RNO.PA
CAC_40,SAS AB,SAS NOK
CAC_40,SAINT-GOBAIN,SGO.PA
CAC_40,SANOFI,SAN.PA
CAC_40,SCHNEIDER ELECTRIC,SU.PA
CAC_40,SOCIETE GENERALE,GLE.PA
CAC_40,TELEPERFORMANCE,TEP.PA
CAC_40,STELLANTIS,STLAP.PA
CAC_40,STELLANTIS,STLAM.MI
CAC_40,STMICROELECTRONICS,STMPA.PA
CAC_40,STMICROELECTRONICS,STMMI.MI
CAC_40,TOTALENERGIES,TTE.PA
CAC_40,UNIBAIL-RODAMCO-WESTFIELD,URW
CAC_40,UNIBAIL-RODAMCO-WESTFIELD,URW.PA
CAC_40,VEOLIA,VIE.PA
CAC_40,INWIT,INW.MI
CAC_40,VINCI,DG.PA
OBX,AKER SOLUTIONS,AKSO
OBX,BW LPG,BWLPG
OBX,DET NORSKE OLJESELSKAP,DETNOR
OBX,DNO INTERNATIONAL,DNO
OBX,EQUINOR,EQNR
OBX,PROTECTOR FORSIKRING,PROTCT
OBX,MOWI,MOWI
OBX,NORDIC SEMICONDUCTOR,NOD
OBX,NORSK HYDRO,NHY
OBX,NORWEGIAN AIR SHUTTLE,NAS
OBX,ORKLA,ORK
OBX,SEABIRD EXPLORATION,SBX
OBX,PETROLEUM GEO-SER,PGS
OBX,HOEGH AUTOLINERS ASA,HAUTO
OBX,ROYAL CARIBBEAN C,RCL
OBX,SCHIBSTED,SCH
OBX,STOREBRAND,STB
OBX,SUBSEA 7,SUBC
OBX,SUBSEA 7,SUB
OBX,TELENOR,TEL
OBX,TGS-NOPEC GEOPHYS,TGS
OBX,YARA INTERNATIONAL,YAR
OSEBX,ABG SUNDAL COLLIER,ASC
OSEBX,AF GRUPPEN,AFG
OSEBX,AKER SEAFOODS,AKS
OSEBX,AKER SOLUTIONS,AKSO
OSEBX,AMERICAN SHIPPING,AMSC
OSEBX,ATEA,ATEA
OSEBX,ACTA HOLDING,ACTA
OSEBX,BAKKAFROST,BAKKA
OSEBX,BIOTEC PHARMACON,BIOTEC
OSEBX,BW LPG,BWLPG
OSEBX,DET NORSKE OLJESELSKAP,DETNOR
OSEBX,DNO INTERNATIONAL,DNO
OSEBX,OPERA SOFTWARE,OPERA
OSEBX,EQUINOR,EQNR
OSEBX,PROTECTOR FORSIKRING,PROTCT
OSEBX,GOLDEN OCEAN GROUP,GOGL
OSEBX,KONGSBERG AUTOMOT,KOA
OSEBX,KONGSBERG GRUPPEN,KOG
OSEBX,MOWI,MOWI
OSEBX,NORDIC SEMICONDUCTOR,NOD
OSEBX,NORSK HYDRO,NHY
OSEBX,NORWEGIAN AIR SHUTTLE,NAS
OSEBX,NORWEGIAN PROPERTY,NPRO
OSEBX,OLAV THON EIENDOM,OLT
OSEBX,ORKLA,ORK
OSEBX,SEABIRD EXPLORATION,SBX
OSEBX,PETROLEUM GEO-SER,PGS
OSEBX,PHOTOCURE,PHO
OSEBX,Q-FREE,QFR
OSEBX,HOEGH AUTOLINERS ASA,HAUTO
OSEBX,ROYAL CARIBBEAN C,RCL
OSEBX,SALMAR,SALM
OSEBX,SCHIBSTED,SCH
OSEBX,STOLT-NIELSEN,SNI
OSEBX,STOREBRAND,STB
OSEBX,SUBSEA 7,SUBC
OSEBX,SUBSEA 7,SUB
OSEBX,TELENOR,TEL
OSEBX,TGS-NOPEC GEOPHYS,TGS
OSEBX,VEIDEKKE,VEI
OSEBX,WILH. WILHELMSEN,WWASA
OSEBX,WILH. WILHELMSEN,WWI
OSEBX,WILH. WILHELMSEN,WWIB
OSEBX,TGS ASA,TGS
OSEBX,YARA INTERNATIONAL,YAR
PSI_20,TGS ASA,TGS
PSI_20,SOFINA,SOF
PSI_20,EDP RENOVAVEIS,EDPR
PSI_20,GALP ENERGIA,GALP
PSI_20,ENERGIAS DE PORTUGAL,EDP
PSI_20,JERONIMO MARTINS,JMT
PSI_20,MOTA-ENGIL,EGL
PSI_20,TELECOM ITALIA,TIT.MI
PSI_20,REDES ENERGETICAS NACIONAIS,RENE
PSI_20,SCANA INDUSTRIER,SCI
PSI_20,SONAE,SON
PSI_20,THE NAVIGATOR COMPANY,NVG
MIB,A2A,A2A.MI
MIB,ASM INTERNATIONAL,ASM
