Name,Market Cap In Usd,Currency,Market,Index,Isin Code,Turnover In Eur,Issuer Country,Industry,Supersector,Sector,Subsector,Average Training Hours Per Employee,Number Of Female Board Members,Number Of Board Members,Share Of Women In Total Workforce In %,Share Of Women In Management Bodies In %,Gender Pay Gap In %,Rate Of Employees With Disabilities In %,Board Gender Diversity (Female Board Members / Total Board Members) In %,Total Energy Consumption In Mwh,Rate Of Resignation In %,Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd,Roa,Roe,Roic
Accor,10331920000.0,EUR,Euronext Paris,CAC_40,FR0000120404,44122934.73,France,"40, Consumer Discretionary","4050, Travel and Leisure","405010, Travel and Leisure","40501025, Hotels and Motels",,8.0,13.0,,,,,0.615,13712000.0,,572.6319,4.0,11.9,8.0
Air Liquide,105136060000.0,EUR,Euronext Paris,CAC_40,FR0000120073,117667138.9,France,"55, Basic Materials","5520, Chemicals","552010, Chemicals","55201020, Specialty Chemicals",20.0,5.0,14.0,0.28,0.3,,0.045,0.357,,0.086,,6.1,12.9,12.1
Airbus Se,136164990000.00002,EUR,Euronext Paris,CAC_40,NL0000235190,165742457.82,Netherlands,"50, Industrials","5020, Industrial Goods and Services","502010, Aerospace and Defense","50201010, Aerospace",15.0,4.0,12.0,0.2,,,,0.333,3717000.0,,,2.3,23.5,13.5
Arcelormittal Sa,21754170000.0,EUR,Euronext Amsterdam,CAC_40,LU1598757687,44321308.065,Luxembourg,"55, Basic Materials","5510, Basic Resources","551020, Industrial Metals and Mining","55102010, Iron and Steel",,3.0,10.0,,0.157,,,0.3,386666976.0,,3373.201,2.1,1.8,4.5
Axa,82540870000.0,EUR,Euronext Paris,CAC_40,FR0000120628,121479807.525,France,"30, Financials","3030, Insurance","303020, Non-life Insurance","30302010, Full Line Insurance",,9.0,16.0,,0.353,,0.007,0.563,223638.0,0.1,2.7178,0.9,12.8,7.5
Bnp Paribas ACT.A,80076660000.0,EUR,Euronext Paris,CAC_40,FR0000131104,228114028.42,France,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",24.2,7.0,13.0,0.51,,,0.027,0.538,830000.0,,,0.1,12.8,7.5
Bouygues,14690030000.0,EUR,Euronext Paris,CAC_40,FR0000120503,36555688.29,France,"50, Industrials","5010, Construction and Materials","501010, Construction and Materials","50101010, Construction",,8.0,14.0,,,,,0.571,,,767.1686000000001,2.0,8.6,6.6
Capgemini,37140770000.0,EUR,Euronext Paris,CAC_40,FR0000125338,98614242.9,France,"10, Technology","1010, Technology","101010, Software and Computer Services","10101010, Computer Services",52.4,6.0,15.0,0.388,0.273,,0.012,0.4,201053.0,,23.6684,,,
Carrefour,11936920000.0,EUR,Euronext Paris,CAC_40,FR0000120172,31551442.14,France,"45, Consumer Staples","4520, Personal Care, Drug and Grocery Stores","452010, Personal Care, Drug and Grocery Stores","45201010, Food Retailers and Wholesalers",9.2,7.0,15.0,0.55,0.308,,0.043,0.467,4556990.0,0.158,,2.5,6.8,6.6
Credit Agricole,44858680000.0,EUR,Euronext Paris,CAC_40,FR0000045072,76138942.318,France,"30, Financials","3010, Banks","301010, Banks","30101010, Banks",33.5,10.0,21.0,0.522,0.353,,0.054,0.476,398861.0,0.04,,0.3,9.6,
Danone,42715470000.0,EUR,Euronext Paris,CAC_40,FR0000120644,72653044.11,France,"45, Consumer Staples","4510, Food, Beverage and Tobacco","451020, Food Producers","45102020, Food Products",,,,,,,,,,,,4.9,5.6,10.4
Dassault Systemes,54964830000.0,EUR,Euronext Paris,CAC_40,FR0014003TT8,63240288.215,France,"10, Technology","1010, Technology","101010, Software and Computer Services","10101015, Software",27.9,6.0,12.0,0.281,0.385,,0.027,0.5,82766.0,,3.915023,5.6,13.8,11.2
Edenred,12471920000.0,EUR,Euronext Paris,CAC_40,FR0010908533,27183550.11,France,"50, Industrials","5020, Industrial Goods and Services","502050, Industrial Support Services","50205015, Transaction Processing Services",22.1,6.0,12.0,0.52,0.37,,0.055,0.5,11713829.0,,6.591200000000001,2.8,,13.1
Engie,41275250000.0,EUR,Euronext Paris,CAC_40,FR0010208488,107821158.022,France,"65, Utilities","6510, Utilities","651020, Gas, Water and Multi-utilities","65102000, Multi-utilities",28.0,7.0,14.0,0.265,0.4,0.019,0.035,0.5,217479000.0,0.054,1848.9386,3.3,7.7,12.6
Essilorluxottica,99406210000.0,EUR,Euronext Paris,CAC_40,FR0000121667,84751068.4,France,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102015, Medical Supplies",19.2,6.0,14.0,0.6,0.39,,,0.429,2149000.0,,14.0384,3.4,6.3,6.2
Eurofins Scient.,12331750000.0,EUR,Euronext Paris,CAC_40,FR0014000MR3,25411233.3,France,"20, Health Care","2010, Health Care","201020, Medical Equipment and Services","20102020, Medical Services",,4.0,8.0,0.57,0.21,,,0.5,742007.0,,34.143914,4.3,6.2,7.8
Hermes Intl,263646930000.00003,EUR,Euronext Paris,CAC_40,FR0000052292,131245341.5,France,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories",21.0,7.0,14.0,0.67,0.4,,0.069,0.5,209100.0,,,18.6,31.3,32.7
Kering,44893990000.0,EUR,Euronext Paris,CAC_40,FR0000121485,91962509.5,France,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204020, Clothing and Accessories",13.1,7.0,11.0,0.63,0.42,0.142,0.015,0.636,351130.0,,42.4362,7.9,20.0,13.3
L'oreal,242280100000.0,EUR,Euronext Paris,CAC_40,FR0000120321,137161252.3,France,"40, Consumer Discretionary","4020, Consumer Products and Services","402040, Personal Goods","40204035, Cosmetics",36.7,7.0,16.0,0.68,0.32,0.007,0.019,0.438,935591.0,,49.284200000000006,10.3,22.0,21.1
