Name;Currency;Type;Sub Type;Market;Isin Code;Industry;Supersector;Sector;Subsector;Average Training Hours Per Employee;Number Of Female Board Members;Number Of Board Members;Market Cap In Usd;Carbon Footprint (Total Ghg Emissions / Enterprise Value)_In_Usd;Share Of Women In Total Workforce In %;Share Of Women In Management Bodies In %;Gender Pay Gap In %;Rate Of Employees With Disabilities In %;Board Gender Diversity (Female Board Members / Total Board Members) In %;Total Energy Consumption In Mwh;Rate Of Resignation In %;Component;Isin;Ticker;Trading Location;Issuer Country;Turnover;Turnover In Eur;Volume;Roa;Roe;Roic;Ccy;Index;Component;Ticker
ACCOR;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120404;40, Consumer Discretionary;4050, Travel and Leisure;405010, Travel and Leisure;40501025, Hotels and Motels;;8.0;13.0;10331920000.0;572.6319;;;;;0.615;13712000.0;;Accor Sa;FR0000120404;AC;Euronext Paris;France;44122934.73;44122934.73;1016775.0;4.0;11.9;8.0;EUR;CAC_40;ACCOR SA;AC
AIR LIQUIDE;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120073;55, Basic Materials;5520, Chemicals;552010, Chemicals;55201020, Specialty Chemicals;20.0;5.0;14.0;105136060000.0;;0.28;0.3;;0.045;0.357;;0.086;L'Air Liquide Societe Anonyme Pour L'Etude Et L'Exploitation Des Procedes Georges Claude Sa;FR0000120073;AI;Euronext Paris;France;117667138.9;117667138.9;609693.0;6.1;12.9;12.1;EUR;CAC_40;L'AIR LIQUIDE SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES PROCEDES GEORGES CLAUDE SA;AI
AIRBUS SE;EUR;Stock;Ordinary Shares;Euronext Paris;NL0000235190;50, Industrials;5020, Industrial Goods and Services;502010, Aerospace and Defense;50201010, Aerospace;15.0;4.0;12.0;136164990000.00002;;0.2;;;;0.333;3717000.0;;Airbus Se;NL0000235190;1AIR;Euronext Paris;Netherlands;165742457.82;165742457.82;969451.0;2.3;23.5;13.5;EUR;CAC_40;AIRBUS SE;1AIR
ARCELORMITTAL SA;EUR;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;21754170000.0;3373.201;;0.157;;;0.3;386666976.0;;Arcelormittal Sa;LU1598757687;MT;Euronext Amsterdam;Luxembourg;44321308.065;44321308.065;1738641.0;2.1;1.8;4.5;EUR;CAC_40;ARCELORMITTAL SA;MT
ARCELORMITTAL SA;EUR;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;21754170000.0;3373.201;;0.157;;;0.3;386666976.0;;Arcelormittal Sa;LU1598757687;MT;Euronext Amsterdam;Luxembourg;44321308.065;44321308.065;1738641.0;2.1;1.8;4.5;EUR;CAC_40;ARCELORMITTAL SA;MT
ARCELORMITTAL SA;EUR;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;21754170000.0;3373.201;;0.157;;;0.3;386666976.0;;Arcelormittal Sa;LU1598757687;MT;Euronext Amsterdam;Luxembourg;44321308.065;44321308.065;1738641.0;2.1;1.8;4.5;EUR;AEX;ARCELORMITTAL SA;MT
ARCELORMITTAL SA;EUR;Stock;Ordinary Shares;Euronext Amsterdam;LU1598757687;55, Basic Materials;5510, Basic Resources;551020, Industrial Metals and Mining;55102010, Iron and Steel;;3.0;10.0;21754170000.0;3373.201;;0.157;;;0.3;386666976.0;;Arcelormittal Sa;LU1598757687;MT.S;Euronext Amsterdam;Luxembourg;44321308.065;44321308.065;1738641.0;2.1;1.8;4.5;EUR;AEX;ARCELORMITTAL SA;MT.S
AXA;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120628;30, Financials;3030, Insurance;303020, Non-life Insurance;30302010, Full Line Insurance;;9.0;16.0;82540870000.0;2.7178;;0.353;;0.007;0.563;223638.0;0.1;Axa;FR0000120628;CS;Euronext Paris;France;121479807.525;121479807.525;3490177.0;0.9;12.8;7.5;EUR;CAC_40;AXA;CS
BNP PARIBAS ACT.A;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000131104;30, Financials;3010, Banks;301010, Banks;30101010, Banks;24.2;7.0;13.0;80076660000.0;;0.51;;;0.027;0.538;830000.0;;Bnp Paribas Act.A;FR0000131104;BNP;Euronext Paris;France;228114028.42;228114028.42;3467964.0;0.1;12.8;7.5;EUR;CAC_40;BNP PARIBAS ACT.A;BNP
BOUYGUES;EUR;Stock;Ordinary Shares;Euronext Paris;FR0000120503;50, Industrials;5010, Construction and Materials;501010, Construction and Materials;50101010, Construction;;8.0;14.0;14690030000.0;767.1686000000001;;;;;0.571;;;Bouygues Sa;FR0000120503;EN;Euronext Paris;France;36555688.29;36555688.29;965487.0;2.0;8.6;6.6;EUR;CAC_40;BOUYGUES SA;EN
