Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABN Amro,15.63 15.63,0.00 0.00,0.01 0.06%,11:39 AM 04/22/2024 11:39:22 AM UTC-0400 19.04.2024,2.07 15.30%,0.00 0.00%,0.08 0.55%
Adyen B.V. Parts Sociales,"1,399.20 1,399.20",0.00 0.00,-43.40 -3.01%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,286.20 24.92%,736.00 105.32%,-31.40 -2.14%
Ahold Delhaize,27.38 27.38,0.00 0.00,0.24 0.88%,11:35 AM 04/22/2024 11:35:11 AM UTC-0400 19.04.2024,1.29 5.03%,-0.62 -2.25%,-3.90 -12.64%
Akzo Nobel,66.28 66.28,0.00 0.00,0.18 0.27%,11:38 AM 04/22/2024 11:38:59 AM UTC-0400 19.04.2024,-2.36 -3.42%,0.00 0.00%,-8.08 -10.81%
ArcelorMittal,23.83 23.83,0.00 0.00,0.03 0.13%,11:35 AM 04/22/2024 11:35:06 AM UTC-0400 19.04.2024,-0.87 -3.57%,2.27 10.66%,-3.87 -14.13%
ASML NV,821.00 821.00,0.00 0.00,-19.30 -2.30%,11:39 AM 04/22/2024 11:39:23 AM UTC-0400 19.04.2024,176.40 26.09%,299.20 54.09%,263.80 44.82%
ASR Nederland N.V,45.65 45.65,0.00 0.00,0.15 0.33%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,3.20 7.60%,0.00 0.00%,6.20 15.86%
Heineken,89.64 89.64,0.00 0.00,1.64 1.86%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,-3.86 -4.21%,0.00 0.00%,-11.62 -11.70%
IMCD,151.25 151.25,0.00 0.00,-1.85 -1.21%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,8.55 5.96%,0.00 0.00%,5.40 3.68%
ING Group,15.23 15.23,0.00 0.00,0.06 0.41%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,2.23 17.58%,2.48 19.94%,2.89 24.02%
KPN,3.32 3.32,0.00 0.00,-0.06 -1.72%,11:35 AM 04/22/2024 11:35:17 AM UTC-0400 19.04.2024,0.21 6.57%,0.00 0.00%,0.15 4.54%
NN Group,42.76 42.76,0.00 0.00,0.07 0.16%,11:36 AM 04/22/2024 11:36:00 AM UTC-0400 19.04.2024,5.27 14.14%,0.00 0.00%,8.22 23.94%
Philips,18.85 18.85,0.00 0.00,-0.05 -0.24%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,-2.35 -11.01%,-11.29 -38.79%,2.85 17.70%
Randstad,48.17 48.17,0.00 0.00,-0.18 -0.37%,11:38 AM 04/22/2024 11:38:13 AM UTC-0400 19.04.2024,-0.56 -1.09%,0.00 0.00%,-2.96 -5.52%
RELX,38.58 38.58,0.00 0.00,-0.42 -1.08%,11:37 AM 04/22/2024 11:37:48 AM UTC-0400 19.04.2024,1.08 2.83%,0.00 0.00%,9.49 31.96%
Shell,33.47 33.47,0.00 0.00,-0.01 -0.01%,11:37 AM 04/22/2024 11:37:12 AM UTC-0400 19.04.2024,5.41 19.42%,0.00 0.00%,5.24 18.71%
Wolters Kluwer,140.55 140.55,0.00 0.00,-0.85 -0.60%,11:35 AM 04/22/2024 11:35:29 AM UTC-0400 19.04.2024,7.90 5.89%,0.00 0.00%,23.15 19.47%
