Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
AB InBev SA-NV (Anheuser-Busch InBev),54.88 54.88,53.92 54.88,0.86 1.59%,08:55 AM 04/21/2024 08:55:28 AM UTC-0400 19.04.2024,-3.59 -6.25%,3.19 6.30%,-4.93 -8.39%
Ackermans & van Haaren S.A.,156.70 156.70,156.70 156.70,-0.10 -0.06%,02:05 AM 04/21/2024 02:05:33 AM UTC-0400 19.04.2024,5.80 3.77%,0.00 0.00%,2.90 1.85%
ageas NV,42.98 42.98,42.48 42.98,0.10 0.23%,05:47 AM 04/21/2024 05:47:51 AM UTC-0400 19.04.2024,3.51 9.12%,0.00 0.00%,1.92 4.79%
Ahold Delhaize (Ahold),27.22 27.22,26.80 27.22,0.14 0.52%,08:12 AM 04/21/2024 08:12:11 AM UTC-0400 19.04.2024,1.29 5.03%,-0.62 -2.25%,-3.90 -12.64%
Cofinimmo S.A.,61.50 61.50,61.50 61.50,-0.65 -1.05%,02:05 AM 04/21/2024 02:05:34 AM UTC-0400 19.04.2024,-2.80 -4.09%,0.00 0.00%,-21.60 -24.77%
D'Ieteren NV,202.80 202.80,202.80 202.80,0.00 0.00%,02:05 AM 04/21/2024 02:05:33 AM UTC-0400 19.04.2024,23.10 13.15%,0.00 0.00%,27.30 15.92%
Elia System Operator SA-NV,91.50 91.50,91.50 91.75,-0.65 -0.71%,03:49 PM 04/21/2024 03:49:58 PM UTC-0400 19.04.2024,-11.20 -10.22%,0.00 0.00%,-21.20 -17.73%
Engie (ex GDF Suez),15.90 15.90,15.67 15.90,0.12 0.76%,08:59 AM 04/21/2024 08:59:26 AM UTC-0400 19.04.2024,0.17 1.08%,1.01 6.86%,0.44 2.86%
Etablissementen Franz Colruyt NV,40.34 40.34,40.34 40.34,-0.48 -1.18%,02:05 AM 04/21/2024 02:05:34 AM UTC-0400 19.04.2024,0.53 1.26%,0.00 0.00%,17.07 67.13%
Groupe Bruxelles Lambert S.A. (GBL),68.85 68.85,68.85 68.85,0.05 0.07%,02:05 AM 04/21/2024 02:05:34 AM UTC-0400 19.04.2024,2.17 3.22%,0.00 0.00%,-10.37 -12.98%
KBC Groep N.V.,69.02 69.02,69.02 69.02,0.10 0.15%,02:05 AM 04/21/2024 02:05:34 AM UTC-0400 19.04.2024,11.26 19.25%,0.00 0.00%,3.88 5.89%
NV Bekaert SA,46.00 46.00,46.00 46.00,-0.36 -0.78%,02:05 AM 04/21/2024 02:05:33 AM UTC-0400 19.04.2024,2.40 5.40%,0.00 0.00%,4.48 10.58%
Proximus (ex Belgacom),7.25 7.25,7.21 7.30,-0.03 -0.41%,03:12 AM 04/21/2024 03:12:05 AM UTC-0400 19.04.2024,-1.72 -18.92%,0.00 0.00%,-1.79 -19.46%
Solvay S.A.,28.21 28.21,28.21 30.13,-1.62 -5.43%,07:09 AM 04/21/2024 07:09:15 AM UTC-0400 19.04.2024,6.27 26.65%,9.92 49.89%,8.19 37.87%
Telenet Group Holding N.V.,0.00 0.00,0.00 0.00,0.00 0.00%,-,0.42 2.03%,0.00 0.00%,7.84 59.13%
ThromboGenics NV,0.00 0.00,0.00 0.00,0.00 0.00%,03:49 PM 04/21/2024 03:49:58 PM UTC-0400 19.04.2024,-0.01 -46.81%,0.00 0.00%,-1.15 -99.13%
UCB S.A.,118.20 118.20,118.20 118.20,-2.35 -1.95%,02:05 AM 04/21/2024 02:05:34 AM UTC-0400 19.04.2024,36.87 44.65%,0.00 0.00%,31.83 36.33%
