Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Air Liquide,186.72 186.72,0.00 0.00,0.22 0.12%,11:35 AM 04/20/2024 11:35:04 AM UTC-0400 18.04.2024,11.36 6.49%,29.18 18.55%,25.66 15.95%
Airbus,160.66 160.66,0.00 0.00,0.76 0.48%,11:35 AM 04/20/2024 11:35:08 AM UTC-0400 18.04.2024,9.86 6.57%,35.18 28.21%,31.58 24.61%
ArcelorMittal,23.80 23.80,0.00 0.00,0.29 1.23%,11:35 AM 04/20/2024 11:35:13 AM UTC-0400 18.04.2024,-0.87 -3.57%,2.27 10.66%,-3.87 -14.13%
AXA,33.82 33.82,0.00 0.00,0.36 1.08%,11:35 AM 04/20/2024 11:35:05 AM UTC-0400 18.04.2024,3.50 11.66%,5.30 18.82%,4.63 16.04%
BNP Paribas,65.46 65.46,0.00 0.00,1.31 2.04%,11:35 AM 04/20/2024 11:35:11 AM UTC-0400 18.04.2024,3.49 5.75%,6.84 11.94%,4.74 7.98%
Bouygues,36.09 36.09,0.00 0.00,-0.10 -0.28%,11:35 AM 04/20/2024 11:35:03 AM UTC-0400 18.04.2024,1.61 4.66%,4.56 14.42%,3.39 10.34%
Cap Gemini,200.50 200.50,0.00 0.00,-1.90 -0.94%,11:35 AM 04/20/2024 11:35:28 AM UTC-0400 18.04.2024,5.05 2.56%,38.10 23.19%,36.10 21.71%
Carrefour,15.72 15.72,0.00 0.00,0.11 0.67%,11:35 AM 04/20/2024 11:35:29 AM UTC-0400 18.04.2024,-0.68 -4.14%,-0.24 -1.51%,-3.29 -17.41%
Crédit Agricole,13.91 13.91,0.00 0.00,0.24 1.76%,11:35 AM 04/20/2024 11:35:07 AM UTC-0400 18.04.2024,0.58 4.43%,2.23 19.45%,2.79 25.64%
Danone,59.06 59.06,0.00 0.00,0.52 0.89%,11:35 AM 04/20/2024 11:35:00 AM UTC-0400 18.04.2024,-2.88 -4.69%,3.96 7.26%,-0.55 -0.93%
