Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
A2A S.p.A.,1.73 1.65,1.70 1.73,0.08 4.63%,04:55 AM 04/22/2024 04:55:56 AM UTC-0400 22.04.2024,-0.15 -8.51%,0.00 0.00%,0.12 7.84%
Amplifon S.p.A. Post Frazionamento,31.36 30.56,31.36 31.36,0.80 2.62%,02:14 AM 04/22/2024 02:14:34 AM UTC-0400 22.04.2024,-0.01 -0.03%,0.00 0.00%,-2.44 -7.43%
Assicurazioni Generali S.p.A.,22.56 22.10,22.56 22.56,0.46 2.08%,02:08 AM 04/22/2024 02:08:29 AM UTC-0400 22.04.2024,1.86 9.12%,-2.58 -18.83%,3.51 18.73%
Atlantia S.p.A.,22.94 22.94,0.00 0.00,0.00 0.00%,09:52 AM 04/22/2024 09:52:43 AM UTC-0400 05.12.2022,0.07 0.31%,0.00 0.00%,6.41 39.01%
Azimut Holding S.p.A.,23.84 23.59,23.84 23.84,0.25 1.06%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,-0.61 -2.43%,0.00 0.00%,4.48 22.37%
Banca Popolare dell`Emilia Romagna S.c.a r.l.,4.34 4.26,4.34 4.34,0.08 1.88%,02:08 AM 04/22/2024 02:08:29 AM UTC-0400 22.04.2024,1.12 35.71%,0.00 0.00%,1.66 63.85%
Buzzi Unicem S.p.A.,32.14 32.46,31.92 32.38,-0.32 -0.99%,09:29 AM 04/22/2024 09:29:01 AM UTC-0400 22.04.2024,6.08 21.26%,0.00 0.00%,13.22 61.60%
CNH Industrial N.V. Reg. Shs,11.50 11.56,11.49 11.50,-0.07 -0.56%,05:13 AM 04/22/2024 05:13:16 AM UTC-0400 22.04.2024,1.26 11.95%,0.00 0.00%,-1.56 -11.68%
DiaSorin S.p.A.Az.,91.14 87.94,91.14 91.14,3.20 3.64%,02:08 AM 04/22/2024 02:08:28 AM UTC-0400 22.04.2024,3.68 4.30%,0.00 0.00%,-7.18 -7.44%
Enel S.p.A.,6.04 5.92,5.92 6.04,0.12 2.06%,10:48 AM 04/22/2024 10:48:41 AM UTC-0400 22.04.2024,-0.84 -12.58%,0.81 12.66%,0.03 0.50%
