Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
Aker Solutions ASA,3.25 3.25,3.19 3.25,0.00 0.00%,03:54 AM 04/21/2024 03:54:13 AM UTC-0400 19.04.2024,-0.16 -4.38%,0.00 0.00%,0.21 6.48%
BW LPG Ltd,12.29 12.29,11.96 12.50,0.22 1.82%,12:05 PM 04/21/2024 12:05:08 PM UTC-0400 19.04.2024,-0.78 -6.09%,0.00 0.00%,4.48 59.34%
Det Norske Oljeselskap ASA,23.80 23.80,23.80 24.26,-0.77 -3.13%,04:39 AM 04/21/2024 04:39:05 AM UTC-0400 19.04.2024,0.52 2.17%,0.00 0.00%,1.23 5.29%
DNO International ASA (A),0.88 0.88,0.88 0.88,-0.01 -1.51%,02:05 AM 04/21/2024 02:05:08 AM UTC-0400 19.04.2024,0.12 14.77%,0.00 0.00%,-0.07 -7.02%
Equinor,25.52 25.52,24.84 25.99,-0.09 -0.35%,01:11 PM 04/21/2024 01:11:11 PM UTC-0400 19.04.2024,-0.77 -2.93%,0.00 0.00%,-1.07 -4.01%
Gjensidige Forsikring ASA,13.63 13.63,13.63 13.63,-0.03 -0.22%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,-1.87 -12.10%,0.00 0.00%,-1.72 -11.23%
Mowi,15.50 15.50,15.50 15.50,0.00 0.00%,02:01 AM 04/21/2024 02:01:59 AM UTC-0400 19.04.2024,-0.63 -3.75%,0.00 0.00%,-1.41 -8.06%
Nordic Semiconductor ASA,7.59 7.59,7.59 7.59,-0.15 -1.91%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,-1.52 -16.19%,0.00 0.00%,-5.27 -40.11%
Norsk Hydro ASA,6.04 6.04,5.99 6.04,-0.04 -0.59%,08:37 AM 04/21/2024 08:37:15 AM UTC-0400 19.04.2024,0.73 13.88%,0.00 0.00%,-1.09 -15.44%
Norwegian Air Shuttle,1.41 1.41,1.36 1.41,0.02 1.44%,10:04 AM 04/21/2024 10:04:41 AM UTC-0400 19.04.2024,0.38 36.80%,0.00 0.00%,0.49 53.35%
Orkla AS,6.10 6.10,6.10 6.15,-0.59 -8.75%,09:20 AM 04/21/2024 09:20:14 AM UTC-0400 19.04.2024,-0.69 -9.31%,0.00 0.00%,0.23 3.55%
Otello Corporation ASA,0.67 0.67,0.67 0.67,0.00 0.30%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,0.01 1.17%,0.00 0.00%,0.01 0.88%
Petroleum Geo-Services ASA,0.73 0.73,0.73 0.73,-0.01 -1.45%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,0.14 21.95%,0.00 0.00%,0.02 2.49%
REC Silicon ASA,0.91 0.91,0.91 0.91,0.00 -0.22%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,-0.15 -13.73%,0.00 0.00%,-0.57 -38.12%
Royal Caribbean Cruises Ltd.,118.60 118.60,118.60 118.60,-0.94 -0.79%,02:03 AM 04/21/2024 02:03:34 AM UTC-0400 19.04.2024,2.69 2.15%,45.14 54.50%,63.52 98.56%
Schibsted ASA,25.92 25.92,25.92 25.92,-0.14 -0.54%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,2.74 10.79%,0.00 0.00%,12.08 75.26%
Storebrand AsaShs,7.87 7.87,7.87 7.87,-0.13 -1.56%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,0.32 3.87%,0.00 0.00%,1.55 22.17%
Subsea 7 S.A.,14.86 14.86,14.86 14.86,-0.14 -0.93%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,2.46 18.87%,0.00 0.00%,4.76 44.32%
Telenor ASA,10.45 10.45,10.35 10.54,0.15 1.46%,03:49 PM 04/21/2024 03:49:58 PM UTC-0400 19.04.2024,-0.40 -3.74%,0.00 0.00%,-0.80 -7.14%
TGS-Nopec Geophysical Company ASAShs,11.00 11.00,11.00 11.00,-0.36 -3.17%,03:21 AM 04/21/2024 03:21:25 AM UTC-0400 19.04.2024,1.83 19.49%,0.00 0.00%,-3.63 -24.44%
Yara International ASA,28.35 28.35,28.35 28.35,0.44 1.58%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,-2.15 -7.10%,0.00 0.00%,-12.08 -30.05%
