Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ABG Sundal Collier ASAShs,0.47 0.47,0.45 0.47,-0.02 -4.57%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,-0.07 -14.12%,0.00 0.00%,-0.08 -14.61%
Af Gruppen Asa (A),11.00 11.00,11.00 11.18,-0.24 -2.14%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,-0.24 -2.29%,0.00 0.00%,-3.30 -24.41%
Aker ASAShs -A-,51.70 51.70,51.70 51.70,-0.30 -0.58%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-3.60 -6.57%,0.00 0.00%,-10.65 -17.22%
Aker Solutions ASA,3.25 3.25,3.19 3.25,0.00 0.00%,03:54 AM 04/20/2024 03:54:13 AM UTC-0400 19.04.2024,-0.16 -4.38%,0.00 0.00%,0.21 6.48%
American Shipping Company ASA,2.42 2.42,2.42 2.47,-0.12 -4.55%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,0.13 5.07%,0.00 0.00%,-1.03 -28.45%
Atea ASA,10.98 10.98,10.98 10.98,-0.20 -1.79%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-0.08 -0.71%,0.00 0.00%,-0.44 -3.77%
Avance Gas Holding Ltd,11.70 11.70,11.50 11.70,0.04 0.34%,09:29 AM 04/20/2024 09:29:01 AM UTC-0400 19.04.2024,0.52 4.36%,0.00 0.00%,5.59 81.61%
Bakkafrost,54.90 54.90,54.90 54.90,-1.60 -2.83%,02:04 AM 04/20/2024 02:04:04 AM UTC-0400 19.04.2024,6.42 12.95%,0.00 0.00%,-4.55 -7.51%
Biotec Pharmacon ASAShs,2.25 2.25,2.14 2.25,0.13 5.90%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,-0.41 -11.46%,0.00 0.00%,-0.15 -4.57%
BW LPG Ltd,12.29 12.29,11.96 12.50,0.22 1.82%,12:05 PM 04/20/2024 12:05:08 PM UTC-0400 19.04.2024,-0.78 -6.09%,0.00 0.00%,4.48 59.34%
Det Norske Oljeselskap ASA,23.80 23.80,23.80 24.26,-0.77 -3.13%,04:39 AM 04/20/2024 04:39:05 AM UTC-0400 19.04.2024,0.52 2.17%,0.00 0.00%,1.23 5.29%
DNO International ASA (A),0.88 0.88,0.88 0.88,-0.01 -1.51%,02:05 AM 04/20/2024 02:05:08 AM UTC-0400 19.04.2024,0.12 14.77%,0.00 0.00%,-0.07 -7.02%
Entra ASA Unitary 144A-Reg S,8.56 8.56,8.45 8.56,0.01 0.12%,09:29 AM 04/20/2024 09:29:01 AM UTC-0400 19.04.2024,0.19 1.90%,0.00 0.00%,0.49 5.15%
Equinor,25.52 25.52,24.84 25.99,-0.09 -0.35%,01:11 PM 04/20/2024 01:11:11 PM UTC-0400 19.04.2024,-0.77 -2.93%,0.00 0.00%,-1.07 -4.01%
Gjensidige Forsikring ASA,13.63 13.63,13.63 13.63,-0.03 -0.22%,02:26 AM 04/20/2024 02:26:01 AM UTC-0400 19.04.2024,-1.87 -12.10%,0.00 0.00%,-1.72 -11.23%
Golden Ocean Group Ltd,12.75 12.75,11.67 12.75,1.08 9.21%,10:00 AM 04/20/2024 10:00:49 AM UTC-0400 19.04.2024,2.43 25.93%,0.00 0.00%,3.07 35.10%
Kongsberg Automotive Holding ASA,0.11 0.11,0.11 0.12,-0.03 -19.57%,03:49 PM 04/20/2024 03:49:58 PM UTC-0400 19.04.2024,0.02 10.50%,0.00 0.00%,-0.06 -26.61%
Kongsberg Gruppen ASA,63.60 63.60,63.10 63.75,0.60 0.95%,07:00 AM 04/20/2024 07:00:36 AM UTC-0400 19.04.2024,19.62 42.67%,0.00 0.00%,26.10 66.08%
Mowi,15.50 15.50,15.50 15.50,0.00 0.00%,02:01 AM 04/20/2024 02:01:59 AM UTC-0400 19.04.2024,-0.63 -3.75%,0.00 0.00%,-1.41 -8.06%
Nordic Nanovector ASA,0.08 0.08,0.08 0.08,-0.02 -20.45%,02:05 AM 04/20/2024 02:05:08 AM UTC-0400 19.04.2024,-0.02 -13.79%,0.00 0.00%,0.03 49.93%
Nordic Semiconductor ASA,7.59 7.59,7.59 7.59,-0.15 -1.91%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-1.52 -16.19%,0.00 0.00%,-5.27 -40.11%
Norsk Hydro ASA,6.04 6.04,5.99 6.04,-0.04 -0.59%,08:37 AM 04/20/2024 08:37:15 AM UTC-0400 19.04.2024,0.73 13.88%,0.00 0.00%,-1.09 -15.44%
Norwegian Air Shuttle,1.41 1.41,1.36 1.41,0.02 1.44%,10:04 AM 04/20/2024 10:04:41 AM UTC-0400 19.04.2024,0.38 36.80%,0.00 0.00%,0.49 53.35%
Norwegian Property ASShs,0.00 0.00,0.00 0.00,0.00 0.00%,-,0.30 21.13%,0.00 0.00%,0.64 59.26%
Olav Thon Eiendomsselkap Asa,18.30 18.30,18.30 18.30,-0.10 -0.54%,02:05 AM 04/20/2024 02:05:09 AM UTC-0400 19.04.2024,-0.05 -0.29%,0.00 0.00%,2.20 14.67%
Orkla AS,6.10 6.10,6.10 6.15,-0.59 -8.75%,09:20 AM 04/20/2024 09:20:14 AM UTC-0400 19.04.2024,-0.69 -9.31%,0.00 0.00%,0.23 3.55%
