Name,Latest PricePrevious Close,LowHigh,+/-%,TimeDate,3 Mo.+/-%,6 Mo.+/-%,1 Year+/-%
ALTRI SGPS SAShs,4.85 4.85,4.85 4.88,-0.05 -1.10%,03:49 PM 04/21/2024 03:49:58 PM UTC-0400 19.04.2024,0.25 5.93%,0.00 0.00%,0.52 12.98%
Cofina SGPS SA,0.39 0.39,0.39 0.40,-0.01 -2.48%,03:49 PM 04/21/2024 03:49:58 PM UTC-0400 19.04.2024,0.03 8.70%,0.00 0.00%,0.12 43.88%
"EDP Renovaveis, SA",12.84 12.84,12.84 12.84,0.08 0.63%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,-2.35 -15.08%,0.00 0.00%,-7.05 -34.76%
GALP Energia,16.03 16.03,16.03 16.03,-0.06 -0.34%,02:01 AM 04/21/2024 02:01:41 AM UTC-0400 19.04.2024,1.93 13.52%,0.00 0.00%,5.06 45.52%
Grupo EDP S.A. (Electricidade de Portugal S.A.),3.62 3.62,3.60 3.64,0.01 0.36%,01:30 PM 04/21/2024 01:30:07 PM UTC-0400 19.04.2024,-0.59 -13.94%,0.00 0.00%,-1.34 -26.90%
Jeronimo Martins SGPS S.A.,17.63 17.63,17.63 17.63,-0.10 -0.56%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,-3.16 -15.00%,0.00 0.00%,-3.78 -17.44%
Mota-Engil SGPS SA,4.20 4.20,4.20 4.20,0.02 0.43%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,0.41 9.09%,0.00 0.00%,3.06 169.40%
"NOS SGPS, SA",3.58 3.58,3.58 3.58,-0.02 -0.56%,02:05 AM 04/21/2024 02:05:08 AM UTC-0400 19.04.2024,0.36 11.11%,0.00 0.00%,-0.76 -17.35%
Portugal Telecom S.A.,0.05 0.05,0.05 0.05,0.00 -3.27%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,0.00 5.93%,0.00 0.00%,0.00 0.00%
"REN - Redes Energeticas Nacionais SGPS, SAShs",2.20 2.20,2.19 2.20,0.01 0.23%,03:49 PM 04/21/2024 03:49:58 PM UTC-0400 19.04.2024,0.04 1.95%,0.00 0.00%,-0.31 -11.65%
Sociedade de Investimento e Gestao SGPS SA SEMAPA,14.80 14.80,14.80 14.80,-0.12 -0.80%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,1.14 8.21%,0.00 0.00%,1.16 8.37%
Sonae SGPS SA,0.91 0.91,0.88 0.91,0.00 0.44%,08:01 AM 04/21/2024 08:01:52 AM UTC-0400 19.04.2024,0.02 2.68%,0.00 0.00%,-0.10 -10.36%
Sonaecom SGPS SA,2.52 2.52,2.52 2.52,0.08 3.28%,02:26 AM 04/21/2024 02:26:01 AM UTC-0400 19.04.2024,-0.27 -9.96%,0.00 0.00%,0.00 0.00%
The Navigator Company,3.87 3.87,3.87 3.87,-0.08 -1.98%,02:05 AM 04/21/2024 02:05:09 AM UTC-0400 19.04.2024,0.52 14.54%,0.00 0.00%,0.70 20.78%
